id,created_at,latitude,longitude,user_screen_name,retweets_count,favorites_count,text,followers_count,link,sentiment_score
1332783644537020416,Sat Nov 28 20:29:17 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,vamos milloooooo banco animal,36,https://twitter.com/jischaab/status/1332783644537020416,0.2853545739659176
1332784163435532294,Sat Nov 28 20:31:21 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,acaba publicar foto barrio porteno nunez,36,https://twitter.com/jischaab/status/1332784163435532294,0.07047004928848465
1332784362920816645,Sat Nov 28 20:32:08 +0000 2020,-34.65250184,-58.55606458,djfreaq,0,0,espero aborten idea reconch ramos mejia buenos aires argentina,506,https://twitter.com/djfreaq/status/1332784362920816645,0.31848998190083266
1332784471855276032,Sat Nov 28 20:32:34 +0000 2020,-34.5977,-58.54703,damian_226,0,0,gracias carino das rey corchis gracias tambien compras siempre siempre tan amorosa,16,https://twitter.com/damian_226/status/1332784471855276032,0.36466235829357774
1332786118618656776,Sat Nov 28 20:39:07 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,acaba publicar foto barrio porteno nunez,36,https://twitter.com/jischaab/status/1332786118618656776,0.07047004928848465
1332786366720200704,Sat Nov 28 20:40:06 +0000 2020,-34.61105,-59.89645,zjavierjz,0,0,acaba publicar foto castilla buenos aires argentina,258,https://twitter.com/zjavierjz/status/1332786366720200704,0.2393715770844656
1332786692567216133,Sat Nov 28 20:41:24 +0000 2020,-37.0,-57.15,SooofiFrias,0,0,vicente gracias taton general juan madariaga,514,https://twitter.com/SooofiFrias/status/1332786692567216133,0.6973592186418746
1332787475807301632,Sat Nov 28 20:44:30 +0000 2020,-34.589609,-58.408547,MiliGarciaF,0,0,acaba publicar foto bigg,142,https://twitter.com/MiliGarciaF/status/1332787475807301632,0.5017673916820562
1332788299652620293,Sat Nov 28 20:47:47 +0000 2020,-34.6953,-58.3317,Silvia_viviana,0,0,acaba publicar foto villa dominico,661,https://twitter.com/Silvia_viviana/status/1332788299652620293,0.06985819236920689
1332788452602077184,Sat Nov 28 20:48:23 +0000 2020,-34.6089,-58.4397,rickybaez1,0,0,acaba publicar foto ciudad autonoma buenos aires,931,https://twitter.com/rickybaez1/status/1332788452602077184,0.8282073218924192
1332788493291048967,Sat Nov 28 20:48:33 +0000 2020,-34.60869841,-58.44039202,metromagazzin,0,0,platica fallecimiento qepd argentina buenos aires,485,https://twitter.com/metromagazzin/status/1332788493291048967,0.11293508808192021
1332788638564945923,Sat Nov 28 20:49:08 +0000 2020,-34.6953,-58.3317,Silvia_viviana,0,0,acaba publicar foto villa dominico,661,https://twitter.com/Silvia_viviana/status/1332788638564945923,0.06985819236920689
1332788833931366402,Sat Nov 28 20:49:54 +0000 2020,-34.58833427,-58.42808194,ShinyDiscoYoga,0,0,posted photo palermo soho,865,https://twitter.com/ShinyDiscoYoga/status/1332788833931366402,0.816551507018716
1332789647118794754,Sat Nov 28 20:53:08 +0000 2020,-34.60320246,-58.42354369,Maariiiieee,0,0,acaba publicar foto buenos aires caba,119,https://twitter.com/Maariiiieee/status/1332789647118794754,0.4203265038157213
1332789650801487873,Sat Nov 28 20:53:09 +0000 2020,-34.6089,-58.4397,JakiruCS,0,0,acaba publicar foto ciudad autonoma buenos aires,46,https://twitter.com/JakiruCS/status/1332789650801487873,0.8282073218924192
1332790370120425479,Sat Nov 28 20:56:00 +0000 2020,-34.6086,-58.4215,lelefashionaddi,0,0,buenos aires argentina,121,https://twitter.com/lelefashionaddi/status/1332790370120425479,0.541333260777616
1332790600228343809,Sat Nov 28 20:56:55 +0000 2020,-34.7029,-58.5052,BaroniaPensaATe,0,0,acaba publicar foto tapiales,16,https://twitter.com/BaroniaPensaATe/status/1332790600228343809,0.4203265038157213
1332790749163876353,Sat Nov 28 20:57:31 +0000 2020,-34.05,-60.1167,News_965,0,0,aviso funebre cristian ruben siciliano fallecio sabado noviembre anos realizo,2438,https://twitter.com/News_965/status/1332790749163876353,0.3414342747236142
1332791007553974273,Sat Nov 28 20:58:32 +0000 2020,-34.61462713,-58.53472933,RinconDelLoboJ,0,0,descanso Vamos che Gimnasia informacion ofrecida,1833,https://twitter.com/RinconDelLoboJ/status/1332791007553974273,0.7250101828435779
1332791920536514562,Sat Nov 28 21:02:10 +0000 2020,-34.6089,-58.4397,TangonaBootCamp,0,0,gracias,4960,https://twitter.com/TangonaBootCamp/status/1332791920536514562,0.441790940003079
1332792122735398912,Sat Nov 28 21:02:58 +0000 2020,-34.60900307,-58.38938892,yadsantamarina,0,0,aqui leandro rodriguez lastra heroe nacional congreso nacion argentina,372,https://twitter.com/yadsantamarina/status/1332792122735398912,0.7486115761384631
1332792216000077825,Sat Nov 28 21:03:21 +0000 2020,-34.6089,-58.4397,yilein,0,0,extranamos ciudad autonoma buenos aires,474,https://twitter.com/yilein/status/1332792216000077825,0.9022800141082283
1332792507743293442,Sat Nov 28 21:04:30 +0000 2020,-34.62239035,-58.381961,abelumartinez,0,0,alegria volver vernos bsas,2290,https://twitter.com/abelumartinez/status/1332792507743293442,0.8196984720311103
1332792718226026496,Sat Nov 28 21:05:20 +0000 2020,-34.6089,-58.4397,diuckodigital,0,0,acaba publicar foto ciudad autonoma buenos aires,515,https://twitter.com/diuckodigital/status/1332792718226026496,0.8282073218924192
1332792962040774656,Sat Nov 28 21:06:18 +0000 2020,-34.570633,-58.417287,RicciTomas_,0,0,acaba publicar foto rosedal palermo,1034,https://twitter.com/RicciTomas_/status/1332792962040774656,0.9128555415022556
1332794207719845888,Sat Nov 28 21:11:15 +0000 2020,-34.57528,-58.4388,martinmoravec2,0,0,principio mes meses barrio palermo hollywood,532,https://twitter.com/martinmoravec2/status/1332794207719845888,0.8967566010876256
1332794430215098374,Sat Nov 28 21:12:08 +0000 2020,-34.6089,-58.4397,VictorJFranco,0,0,acaba publicar video ciudad autonoma buenos aires,799,https://twitter.com/VictorJFranco/status/1332794430215098374,0.6722062509726098
1332794842594893826,Sat Nov 28 21:13:47 +0000 2020,-34.6067651,-58.4334251,ElOleg,0,0,parque centenario buenos aires,1026,https://twitter.com/ElOleg/status/1332794842594893826,0.9816536331164094
1332795037525086209,Sat Nov 28 21:14:33 +0000 2020,-34.61462713,-58.53472933,RinconDelLoboJ,0,0,reinicio Vamos Lobos tarde GANAR ofrecido,1833,https://twitter.com/RinconDelLoboJ/status/1332795037525086209,0.48374936899722426
1332795152910454784,Sat Nov 28 21:15:01 +0000 2020,-34.5495744,-58.55403987,marchu_32,0,0,ahora sii mas tranky burger king villa ballester,327,https://twitter.com/marchu_32/status/1332795152910454784,0.14473506026033278
1332795509338120192,Sat Nov 28 21:16:26 +0000 2020,-34.6089,-58.4397,pausalvavittori,0,0,posted video ciudad autonoma buenos aires,412,https://twitter.com/pausalvavittori/status/1332795509338120192,0.8414996049375342
1332795968962654209,Sat Nov 28 21:18:15 +0000 2020,-34.6086,-58.4215,ymancuso,0,0,,277,https://twitter.com/ymancuso/status/1332795968962654209,0.32823650481604266
1332796180561014784,Sat Nov 28 21:19:06 +0000 2020,-35.5896452,-58.02480698,FranOrbeRuiz5,0,0,acaba publicar foto laguna chascomus,768,https://twitter.com/FranOrbeRuiz5/status/1332796180561014784,0.8260337075478017
1332796678408200192,Sat Nov 28 21:21:04 +0000 2020,-34.58645384,-58.37150933,Nuestromar,0,0,presidencia delego decreto nueva licitacion hidrovia ministerio transporte dejando futuro,3746,https://twitter.com/Nuestromar/status/1332796678408200192,0.06560264608977044
1332796969505484804,Sat Nov 28 21:22:14 +0000 2020,-34.59898672,-58.37471151,Lottiejonas,0,0,yesterday,738,https://twitter.com/Lottiejonas/status/1332796969505484804,0.032337301776407965
1332797944924303361,Sat Nov 28 21:26:06 +0000 2020,-34.562,-58.4566,TGLecot,0,0,goza cosa produccion,564,https://twitter.com/TGLecot/status/1332797944924303361,0.4270563534066009
1332798155306496001,Sat Nov 28 21:26:57 +0000 2020,-34.6089,-58.4397,walleTV,0,0,ciudad autonoma buenos aires,24830,https://twitter.com/walleTV/status/1332798155306496001,0.948170499181545
1332798577777790976,Sat Nov 28 21:28:37 +0000 2020,-34.6086,-58.4215,Jfurlanich,0,0,exitos arranque temporada nave hoy zarpa vamos buenos aires,133284,https://twitter.com/Jfurlanich/status/1332798577777790976,0.9615337146578368
1332798720853807106,Sat Nov 28 21:29:11 +0000 2020,-34.57820938,-58.42811392,diegotrainingok,0,0,acaba publicar foto palermo distrito federal argentina,1222,https://twitter.com/diegotrainingok/status/1332798720853807106,0.4203265038157213
1332798843084296196,Sat Nov 28 21:29:41 +0000 2020,-34.57694125,-58.48706224,oscarmbolton,0,0,acaba publicar foto capital federal villa urquiza,347,https://twitter.com/oscarmbolton/status/1332798843084296196,0.1369212400440099
1332798850235588615,Sat Nov 28 21:29:42 +0000 2020,-34.55045381,-58.47334015,ManuelMontaner,0,0,acaba publicar foto sweet home saavedra,4244,https://twitter.com/ManuelMontaner/status/1332798850235588615,0.28642472655956797
1332798945261654020,Sat Nov 28 21:30:05 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,barrio porteno nunez,36,https://twitter.com/jischaab/status/1332798945261654020,0.04640467723213841
1332799199965016066,Sat Nov 28 21:31:06 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,mando genia barrio porteno nunez,36,https://twitter.com/jischaab/status/1332799199965016066,0.09410999367216312
1332799382261952512,Sat Nov 28 21:31:49 +0000 2020,-34.6874082,-58.3688924,arielmars,0,0,visita gracias cuadrito regalito huerta sur alimentos agro ecologicos,162,https://twitter.com/arielmars/status/1332799382261952512,0.9260546964723211
1332799447068241923,Sat Nov 28 21:32:05 +0000 2020,-36.02209,-60.01575,diegorefort,0,0,dale general alvear buenos aires,161,https://twitter.com/diegorefort/status/1332799447068241923,0.380953443578821
1332799471105826824,Sat Nov 28 21:32:10 +0000 2020,-33.4786,-60.0208,FerCondeCastro1,0,0,acaba publicar foto ramallo buenos aires,40,https://twitter.com/FerCondeCastro1/status/1332799471105826824,0.05262851159913494
1332799507747246081,Sat Nov 28 21:32:19 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,siempre ser mutuo barrio porteno nunez,36,https://twitter.com/jischaab/status/1332799507747246081,0.07207307102159316
1332799629025570822,Sat Nov 28 21:32:48 +0000 2020,-36.15722222,-60.56972222,alejandroemerlo,0,0,ola amor llego vida ola fuerza desmedida buenos aires province,116,https://twitter.com/alejandroemerlo/status/1332799629025570822,0.24640196200054246
1332800132492963842,Sat Nov 28 21:34:48 +0000 2020,-34.6089,-58.4397,lostribuneros,0,0,chicas comunicaciones previa oficial ciudad autonoma,3524,https://twitter.com/lostribuneros/status/1332800132492963842,0.900151341851735
1332800270900801536,Sat Nov 28 21:35:21 +0000 2020,-34.704628,-58.415825,GianPalazzo,0,0,amor lanus argentina,201,https://twitter.com/GianPalazzo/status/1332800270900801536,0.7934187675143901
1332800324176777216,Sat Nov 28 21:35:34 +0000 2020,-34.6251973,-58.3738161,jischaab,0,0,espero aporte contenido valor donar organos salva vidas donar organos dar vida organos,36,https://twitter.com/jischaab/status/1332800324176777216,0.4477239366210279
1332800394691555333,Sat Nov 28 21:35:50 +0000 2020,-34.05741323,-60.10004586,News_965,0,0,acaba publicar foto bomberos voluntarios arrecifes,2438,https://twitter.com/News_965/status/1332800394691555333,0.33975460089318715
1332800801195126788,Sat Nov 28 21:37:27 +0000 2020,-34.56741,-58.45763,la_tablita,0,0,acaba publicar foto tablita fiambreria,670,https://twitter.com/la_tablita/status/1332800801195126788,0.8109513714787934
1332800946963963910,Sat Nov 28 21:38:02 +0000 2020,-34.58645384,-58.37150933,Nuestromar,0,0,argentina colonizada pesca habra soberania atlantico sur malvinas cesar lerena ano,3746,https://twitter.com/Nuestromar/status/1332800946963963910,0.8172602703049056
1332801364565618689,Sat Nov 28 21:39:42 +0000 2020,-34.58818,-58.3986,btvbuegayarg,0,0,buegay travel vacations,834,https://twitter.com/btvbuegayarg/status/1332801364565618689,0.006190851248122173
1332801694879670273,Sat Nov 28 21:41:00 +0000 2020,-34.58818,-58.3986,btvbuegayarg,0,0,buegay travel vacations,834,https://twitter.com/btvbuegayarg/status/1332801694879670273,0.006190851248122173
1332802260750004224,Sat Nov 28 21:43:15 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,palabras justas barrio porteno nunez,36,https://twitter.com/jischaab/status/1332802260750004224,0.14459444643932867
1332802266244517895,Sat Nov 28 21:43:17 +0000 2020,-34.65250184,-58.55606458,Maxunho,0,0,acaba publicar foto ramos mejia buenos aires argentina,509,https://twitter.com/Maxunho/status/1332802266244517895,0.29510983464953144
1332802270149419022,Sat Nov 28 21:43:18 +0000 2020,-34.6218,-58.3714,GiuffraOficial,0,0,futuro telon organizado padres club san telmo buenos aires,110,https://twitter.com/GiuffraOficial/status/1332802270149419022,0.9648650669035982
1332802289208336391,Sat Nov 28 21:43:22 +0000 2020,-34.59670591,-58.37684155,juarezajito10,0,0,arranca mas lindo vamos dora hotel buenos aires,2415,https://twitter.com/juarezajito10/status/1332802289208336391,0.8636352677674084
1332802477595516929,Sat Nov 28 21:44:07 +0000 2020,-34.6089,-58.4397,Cecyerrecart,0,0,acaba publicar foto ciudad autonoma buenos aires,125,https://twitter.com/Cecyerrecart/status/1332802477595516929,0.8282073218924192
1332802643522154496,Sat Nov 28 21:44:47 +0000 2020,-34.6218,-58.3714,GiuffraOficial,0,0,nueva fecha locales masculino san telmo buenos aires,110,https://twitter.com/GiuffraOficial/status/1332802643522154496,0.9465358506347061
1332802718155628547,Sat Nov 28 21:45:04 +0000 2020,-34.59541445,-58.5087957,CallecitasBsAs,0,0,abrazos frases hermosas daba alma vida juvenil,144,https://twitter.com/CallecitasBsAs/status/1332802718155628547,0.8397572175769888
1332802722014392321,Sat Nov 28 21:45:05 +0000 2020,-34.59541445,-58.5087957,CallecitasBsAs2,0,0,abrazos frases hermosas daba alma vida juvenil,66,https://twitter.com/CallecitasBsAs2/status/1332802722014392321,0.8397572175769888
1332802910112149506,Sat Nov 28 21:45:50 +0000 2020,-34.6218,-58.3714,GiuffraOficial,0,0,mananas entrenamiento manana arrancamos tempranito venis san telmo bue,110,https://twitter.com/GiuffraOficial/status/1332802910112149506,0.8866341944580266
1332802944161509380,Sat Nov 28 21:45:58 +0000 2020,-34.6089,-58.4397,diuckodigital,0,0,acaba publicar foto ciudad autonoma buenos aires,515,https://twitter.com/diuckodigital/status/1332802944161509380,0.8282073218924192
1332803170343546880,Sat Nov 28 21:46:52 +0000 2020,-34.615954,-58.440695,VestidorReinas,0,0,buen finde todas caballito buenos aires,1210,https://twitter.com/VestidorReinas/status/1332803170343546880,0.8831879209920409
1332803399838953473,Sat Nov 28 21:47:47 +0000 2020,-34.54656609,-58.46425,jischaab,0,0,acaba publicar foto barrio porteno nunez,36,https://twitter.com/jischaab/status/1332803399838953473,0.07047004928848465
1332803573319602185,Sat Nov 28 21:48:28 +0000 2020,-37.71859033,-59.0625,KokoroKaraDesig,0,0,acaba publicar foto andrea oyadomari terapia,255,https://twitter.com/KokoroKaraDesig/status/1332803573319602185,0.21764163518207782
1332803983346458630,Sat Nov 28 21:50:06 +0000 2020,-37.71859033,-59.0625,KokoroKaraDesig,0,0,acaba publicar foto andrea oyadomari terapia,255,https://twitter.com/KokoroKaraDesig/status/1332803983346458630,0.21764163518207782
1332804116511404039,Sat Nov 28 21:50:38 +0000 2020,-34.603333,-58.381667,lluviaBuenosAir,0,0,intensidad area,251,https://twitter.com/lluviaBuenosAir/status/1332804116511404039,0.7069676758123833
1332804347386802179,Sat Nov 28 21:51:33 +0000 2020,-34.6089,-58.4397,AlejandroHartt,0,0,caminando solos llegamos mas rapido caminando juntos llegamos mas lejos ciudad autonoma buenos aires,656,https://twitter.com/AlejandroHartt/status/1332804347386802179,0.9705145108697413
1332805683549532160,Sat Nov 28 21:56:51 +0000 2020,-34.6060318,-58.36611424,enrriz_nata,0,0,puerto madero buenos aires,159,https://twitter.com/enrriz_nata/status/1332805683549532160,0.989226529204126
1332805898344001542,Sat Nov 28 21:57:43 +0000 2020,-34.6089,-58.4397,JeremiasBatto,0,0,acaba publicar video ciudad autonoma buenos aires,1878,https://twitter.com/JeremiasBatto/status/1332805898344001542,0.6722062509726098
1332806092808744960,Sat Nov 28 21:58:29 +0000 2020,-34.6089,-58.4397,walleTV,0,0,vestido ciudad autonoma buenos aires,24830,https://twitter.com/walleTV/status/1332806092808744960,0.8576168362085022
1332806342986199040,Sat Nov 28 21:59:29 +0000 2020,-34.6086,-58.4215,Mmelrj1,0,0,bno abr nuevo buenos aires argentina,205,https://twitter.com/Mmelrj1/status/1332806342986199040,0.6564267921028424
1332806566085615617,Sat Nov 28 22:00:22 +0000 2020,-34.6060318,-58.36611424,enrriz_nata,0,0,despues casi meses llamadas mensajes audios senales humo pudim,159,https://twitter.com/enrriz_nata/status/1332806566085615617,0.06633943157394971
1332807461024182282,Sat Nov 28 22:03:55 +0000 2020,-34.6089,-58.4397,LeNouvelObserva,0,0,pasa mabel vos baja tranquila guiame salgo reversa ciudad autonoma buenos aires,125,https://twitter.com/LeNouvelObserva/status/1332807461024182282,0.29069922435639317
1332807512098271232,Sat Nov 28 22:04:07 +0000 2020,-34.61462713,-58.53472933,RinconDelLoboJ,0,0,final cayo primera fecha gol convertido,1833,https://twitter.com/RinconDelLoboJ/status/1332807512098271232,0.3562767685012403
1332807834833211392,Sat Nov 28 22:05:24 +0000 2020,-34.5874,-58.3959,Helendelgado,0,0,sonriendo seria pelando diente debajo mascara nunca sabremos recoleta buenos,317,https://twitter.com/Helendelgado/status/1332807834833211392,0.05413635030619583
