source,target,weight
latino,venezuela,1
latino,virao,1
latino,viraochallenge,1
loscantantes,maracaibo,1
loscantantes,parati,1
loscantantes,peru,1
loscantantes,venezuela,1
loscantantes,virao,1
loscantantes,viraochallenge,1
maracaibo,parati,1
maracaibo,peru,1
maracaibo,venezuela,1
maracaibo,virao,1
maracaibo,viraochallenge,1
parati,peru,1
parati,venezuela,1
parati,virao,1
parati,viraochallenge,1
peru,venezuela,1
peru,virao,1
peru,viraochallenge,1
venezuela,virao,1
venezuela,viraochallenge,1
virao,viraochallenge,1
babylights,iluminacion,1
babylights,pelolacio,1
babylights,peluqueria,1
iluminacion,pelolacio,1
iluminacion,peluqueria,1
pelolacio,peluqueria,1
altosax,artist,1
altosax,artistsontwitter,1
altosax,lgtwo,1
altosax,music,1
altosax,practice,1
altosax,practicetime,1
altosax,rtartboost,1
altosax,rt希望,1
altosax,sax,1
artist,artistsontwitter,1
artist,lgtwo,1
artist,music,1
artist,practice,1
artist,practicetime,1
artist,rtartboost,1
artist,rt希望,1
artist,sax,1
artistsontwitter,lgtwo,1
artistsontwitter,music,1
artistsontwitter,practice,1
artistsontwitter,practicetime,1
artistsontwitter,rtartboost,1
artistsontwitter,rt希望,1
artistsontwitter,sax,1
lgtwo,music,1
lgtwo,practice,1
lgtwo,practicetime,1
lgtwo,rtartboost,1
lgtwo,rt希望,1
lgtwo,sax,1
music,practice,1
music,practicetime,1
music,rtartboost,1
music,rt希望,1
music,sax,1
practice,practicetime,1
practice,rtartboost,1
practice,rt希望,1
practice,sax,1
practicetime,rtartboost,1
practicetime,rt希望,1
practicetime,sax,1
rtartboost,rt希望,1
rtartboost,sax,1
rt希望,sax,1
baterista,colombo,1
baterista,drummers,1
baterista,egz2020,1
baterista,sabian,1
baterista,skaargentino,1
baterista,skapunk,1
baterista,zidljian,1
colombo,drummers,1
colombo,egz2020,1
colombo,sabian,1
colombo,skaargentino,1
colombo,skapunk,1
colombo,zidljian,1
drummers,egz2020,1
drummers,sabian,1
drummers,skaargentino,1
drummers,skapunk,1
drummers,zidljian,1
egz2020,sabian,1
egz2020,skaargentino,1
egz2020,skapunk,1
egz2020,zidljian,1
sabian,skaargentino,1
sabian,skapunk,1
sabian,zidljian,1
skaargentino,skapunk,1
skaargentino,zidljian,1
skapunk,zidljian,1
quelindoserderacing,vamosracing,1
chau2020,nacer,1
chau2020,vida,1
nacer,vida,1
buenosaires,highway,1
buenosaires,igshotz,1
buenosaires,leicadlux4,1
buenosaires,nubesdetuciudad,1
buenosaires,storm,1
highway,igshotz,1
highway,leicadlux4,1
highway,nubesdetuciudad,1
highway,storm,1
highway,tormenta,1
igshotz,leicadlux4,1
igshotz,nubesdetuciudad,1
igshotz,storm,1
igshotz,tormenta,1
leicadlux4,nubesdetuciudad,1
leicadlux4,storm,1
leicadlux4,tormenta,1
nubesdetuciudad,storm,1
nubesdetuciudad,tormenta,1
storm,tormenta,1
funcionariosquenofuncionan,tugo,1
buenosaires,colegiermo,1
buenosaires,justoahora,1
colegiermo,justoahora,1
atardecer,sinfiltro,1
ad10s,flashback,1
atardecer,mifotobang,1
atardecer,naturaleza,1
mifotobang,naturaleza,1
amor,cumpleañosfeliz,1
amor,mama,1
cumpleañosfeliz,mama,1
lamayoriaesceleste,somosmayoria,1
begoesonparty,lifegoeson,1
diegoeterno,racingpositivo,1
diegoeterno,vamoslospibes,1
racingpositivo,vamoslospibes,1
femenino,futsal,1
28noviembre,argentinaesprovida,1
28noviembre,salvemoslas2vidas,1
argentinaesprovida,salvemoslas2vidas,1
diegoeterno,nadiesesalvasolx,1
diegomaradona,diegoporsiempre,1
solenoide,solenoidestecnicagama,1
bonalingerie,camisolin,1
camisolin,pijama,1
paja,sabado,1
paja,total,1
sabado,total,1
amor,amorpropio,1
amor,elsecreto,1
amor,frases,1
amor,leydeatraccion,1
amorpropio,elsecreto,1
amorpropio,frases,1
amorpropio,leydeatraccion,1
elsecreto,frases,1
elsecreto,leydeatraccion,1
frases,leydeatraccion,1
river,vamosrivercarajo,1
banfield,futsal,2
boca,futsal,2
maradonaporsiempre,miketyson,1
maradonaporsiempre,vuelve,1
miketyson,vuelve,1
amigos,atardecer,1
amigos,sabado,1
atardecer,sabado,1
diegoeterno,sdtv,1
chetos,d10s,1
lamayoriaceleste,lamayoriaesceleste,1
diegoeterno,lanochedel10,1
leones,tiburones,1
chetos,lospumasnosonpueblo,1
chetos,machirulos,1
lospumasnosonpueblo,machirulos,1
boca,ninotti,1
28denoviembre,28nsalimostodos,1
28denoviembre,mayoriaceleste,1
28nsalimostodos,mayoriaceleste,1
alma,cantantes,1
alma,clowns,1
alma,gratuito,1
alma,independiente,1
alma,instrumentos,1
alma,medicos,1
alma,musica,1
alma,solidario,1
alma,video,1
cantantes,clowns,1
cantantes,gratuito,1
cantantes,independiente,1
cantantes,instrumentos,1
cantantes,medicos,1
cantantes,musica,1
cantantes,solidario,1
cantantes,video,1
clowns,gratuito,1
clowns,independiente,1
clowns,instrumentos,1
clowns,medicos,1
clowns,musica,1
clowns,solidario,1
clowns,video,1
gratuito,independiente,1
gratuito,instrumentos,1
gratuito,medicos,1
gratuito,musica,1
gratuito,solidario,1
gratuito,video,1
independiente,instrumentos,1
independiente,medicos,1
independiente,musica,1
independiente,solidario,1
independiente,video,1
instrumentos,medicos,1
instrumentos,musica,1
instrumentos,solidario,1
instrumentos,video,1
medicos,musica,1
medicos,solidario,1
medicos,video,1
musica,solidario,1
musica,video,1
solidario,video,1
defiendocineargentino,defiendocineindependiente,1
maradonaeterno,midiego,1
reydecopas,todosjuntos,1
reydecopas,vamosrojo,1
todosjuntos,vamosrojo,1
aaaj,diegomaradona,1
ad10s,futbol,1
bullrichmentirosa,santiagomaldonado,1
petalstm,teamdollnature,1
bocafútbolfemenino,excursionistas,1
freestyle,misio,1
freestyle,sub,1
misio,sub,1
21a00hs,fmpasión14años,2
21a00hs,hoysesalefuerte,2
21a00hs,por,2
21a00hs,sábados,2
fmpasión14años,hoysesalefuerte,2
fmpasión14años,por,2
fmpasión14años,sábados,2
hoysesalefuerte,por,2
hoysesalefuerte,sábados,2
por,sábados,2
diegoeterno,maradonaqepd,1
diegoeterno,porsiemprediego,1
diegoeterno,sobredosisdetv,1
maradonaqepd,porsiemprediego,1
maradonaqepd,sobredosisdetv,1
porsiemprediego,sobredosisdetv,1
21a00hs,mesaniversario,1
fmpasión14años,mesaniversario,1
hoysesalefuerte,mesaniversario,1
mesaniversario,por,1
mesaniversario,sábados,1
banfield,bocafutsal,1
banfield,xeneize,1
boca,bocafutsal,1
boca,xeneize,1
bocafutsal,xeneize,1
todorojo,todosjuntos,1
cyberpunk2077,cyberpunk2077hype,1
dalerojo,independiente,1
dalerojo,todorojo,1
dalerojo,vamosrojo,1
independiente,todorojo,1
independiente,vamosrojo,1
todorojo,vamosrojo,1
fideos,identidad,1
fideos,ollasessen,1
fideos,respetosolidaridad,1
fideos,reychef,1
fideos,solidarias,1
fideos,verdurasfrescas,1
identidad,ollasessen,1
identidad,respetosolidaridad,1
identidad,reychef,1
identidad,solidarias,1
identidad,verdurasfrescas,1
ollasessen,respetosolidaridad,1
ollasessen,reychef,1
ollasessen,solidarias,1
ollasessen,verdurasfrescas,1
respetosolidaridad,reychef,1
respetosolidaridad,solidarias,1
respetosolidaridad,verdurasfrescas,1
reychef,solidarias,1
reychef,verdurasfrescas,1
solidarias,verdurasfrescas,1
diegomaradona,gimnasia,1
